version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status pkt-src-aws-service pkt-dst-aws-service
5 123456789010 eni-abc123def0456 10.0.1.42 10.0.0.5 51300 443 6 10 2560 1719131732 1719131792 ACCEPT OK - BEDROCK
5 123456789010 eni-abc123def0456 10.0.1.42 10.0.0.5 51300 443 6 10 32768 1719131793 1719131853 ACCEPT OK - BEDROCK
5 123456789010 eni-abc123def0456 10.0.1.50 10.0.0.7 52200 443 6 10 8192 1719131832 1719131892 ACCEPT OK - SAGEMAKER
5 123456789010 eni-abc123def0456 10.0.1.50 10.0.0.7 52200 443 6 10 65536 1719131893 1719131953 ACCEPT OK - SAGEMAKER
5 123456789010 eni-abc123def0456 10.0.1.33 10.0.0.9 52300 443 6 10 4096 1719131923 1719131983 ACCEPT OK - COMPREHEND
5 123456789010 eni-abc123def0456 10.0.1.44 10.0.0.11 52400 443 6 10 512 1719131953 1719132013 ACCEPT OK - TEXTRACT
5 123456789010 eni-abc123def0456 10.0.1.55 10.0.0.13 52500 443 6 10 2048 1719131984 1719132044 ACCEPT OK - REKOGNITION
5 123456789010 eni-abc123def0456 10.0.1.66 10.0.0.15 52600 443 6 10 8192 1719132015 1719132075 ACCEPT OK - POLLY
5 123456789010 eni-abc123def0456 10.0.1.77 10.0.0.17 52700 443 6 10 512 1719132046 1719132106 ACCEPT OK - TRANSLATE
5 123456789010 eni-abc123def0456 10.0.1.88 10.0.0.19 52800 443 6 10 1024 1719132077 1719132137 ACCEPT OK - LEX
5 123456789010 eni-abc123def0456 10.0.1.99 10.0.0.21 52900 443 6 10 128 1719132108 1719132168 REJECT OK - BEDROCK
5 123456789010 eni-abc123def0456 10.0.2.10 52.85.132.1 53000 443 6 10 4096 1719132140 1719132200 ACCEPT OK - -
