version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status pkt-src-aws-service pkt-dst-aws-service
5 123456789010 eni-abc123def0907 10.0.1.50 52.193.211.127 54819 443 6 101 213711 1776122668 1776122892 REJECT OK - API_GATEWAY
5 123456789010 eni-abc123def0694 10.0.1.42 52.197.118.230 64062 80 6 100 962456 1776134717 1776134774 ACCEPT OK - S3
5 123456789010 eni-abc123def0356 10.0.2.17 52.105.67.226 49783 443 6 75 196748 1776137309 1776137319 ACCEPT OK - -
5 123456789010 eni-abc123def0368 10.0.2.13 52.149.88.196 60868 443 6 155 142626 1776154104 1776154329 ACCEPT OK - BEDROCK
5 123456789010 eni-abc123def0239 10.0.2.13 52.89.191.181 55925 8080 6 91 633847 1776156547 1776156826 ACCEPT OK - BEDROCK
5 123456789010 eni-abc123def0257 10.0.2.24 52.113.144.77 45567 443 6 105 1200088 1776157946 1776158239 REJECT OK - BEDROCK
5 123456789010 eni-abc123def0787 10.0.2.15 52.129.18.150 42446 443 6 187 467329 1776161818 1776162042 REJECT OK - S3
5 123456789010 eni-abc123def0905 10.0.2.11 52.137.5.68 43741 443 6 22 736012 1776165040 1776165095 ACCEPT OK - S3
5 123456789010 eni-abc123def0603 10.0.2.11 52.80.192.218 50153 443 6 140 500473 1776166853 1776166867 REJECT OK - SAGEMAKER
5 123456789010 eni-abc123def0415 10.0.1.52 52.92.13.53 41195 443 6 126 1770512 1776168318 1776168573 ACCEPT OK - BEDROCK
5 123456789010 eni-abc123def0223 10.0.2.26 52.192.120.122 49585 443 6 187 73830 1776176794 1776177047 ACCEPT OK - -
5 123456789010 eni-abc123def0159 10.0.2.24 52.121.200.151 34332 443 6 116 1531833 1776178693 1776178782 ACCEPT OK - S3
5 123456789010 eni-abc123def0160 10.0.2.20 52.80.169.235 43203 443 6 188 373160 1776179641 1776179920 ACCEPT OK - COMPREHEND
5 123456789010 eni-abc123def0235 10.0.1.59 52.172.119.110 35976 443 6 59 1000936 1776183003 1776183215 ACCEPT OK - BEDROCK
5 123456789010 eni-abc123def0920 10.0.2.27 52.152.31.112 38566 443 6 71 1785495 1776185545 1776185593 ACCEPT OK - COMPREHEND
5 123456789010 eni-abc123def0398 10.0.1.58 52.179.159.84 35661 8080 6 7 774679 1776209104 1776209352 ACCEPT OK - -
5 123456789010 eni-abc123def0762 10.0.1.58 52.83.197.13 40676 8080 6 59 1798492 1776235673 1776235729 ACCEPT OK - -
5 123456789010 eni-abc123def0384 10.0.1.58 52.160.212.109 56363 443 6 142 1128545 1776235825 1776236094 ACCEPT OK - S3
5 123456789010 eni-abc123def0722 10.0.1.41 52.190.4.122 38671 443 6 7 470279 1776249686 1776249958 ACCEPT OK - API_GATEWAY
5 123456789010 eni-abc123def0276 10.0.1.43 52.101.221.211 55886 80 6 102 1433801 1776251222 1776251468 REJECT OK - BEDROCK
5 123456789010 eni-abc123def0926 10.0.2.12 52.178.106.116 50205 80 6 35 190626 1776252367 1776252651 ACCEPT OK - COMPREHEND
5 123456789010 eni-abc123def0230 10.0.2.10 52.102.182.58 41491 80 6 192 1444885 1776253840 1776254099 ACCEPT OK - COMPREHEND
5 123456789010 eni-abc123def0138 10.0.2.12 52.152.72.145 42336 80 6 84 369169 1776254317 1776254341 REJECT OK - API_GATEWAY
5 123456789010 eni-abc123def0455 10.0.1.59 52.165.89.31 30830 443 6 7 344581 1776254849 1776254887 REJECT OK - S3
5 123456789010 eni-abc123def0452 10.0.1.41 52.110.190.126 59235 443 6 126 1231777 1776259945 1776260018 ACCEPT OK - -
5 123456789010 eni-abc123def0863 10.0.1.42 52.103.162.236 44476 8080 6 132 295950 1776285385 1776285685 ACCEPT OK - BEDROCK
5 123456789010 eni-abc123def0189 10.0.1.49 52.84.125.166 49340 80 6 145 1005600 1776327437 1776327675 ACCEPT OK - -
5 123456789010 eni-abc123def0796 10.0.1.51 52.117.49.121 38384 443 6 148 1600955 1776329622 1776329917 ACCEPT OK - S3
5 123456789010 eni-abc123def0838 10.0.1.52 52.99.123.231 33720 8080 6 174 671219 1776334601 1776334763 ACCEPT OK - -
5 123456789010 eni-abc123def0719 10.0.1.46 52.191.116.35 49692 80 6 87 566014 1776334757 1776335018 REJECT OK - -
5 123456789010 eni-abc123def0452 10.0.1.55 52.160.9.254 55067 443 6 144 1639788 1776341561 1776341840 REJECT OK - -
5 123456789010 eni-abc123def0703 10.0.2.29 52.167.226.221 44237 443 6 40 1578992 1776365229 1776365449 ACCEPT OK - BEDROCK
5 123456789010 eni-abc123def0260 10.0.2.11 52.156.247.181 32031 80 6 47 1274637 1776411357 1776411414 REJECT OK - S3
5 123456789010 eni-abc123def0666 10.0.1.43 52.99.49.22 52530 8080 6 198 1237745 1776419597 1776419895 ACCEPT OK - -
5 123456789010 eni-abc123def0116 10.0.2.26 52.189.248.202 52527 443 6 30 1314193 1776421295 1776421371 REJECT OK - BEDROCK
5 123456789010 eni-abc123def0375 10.0.2.15 52.98.205.10 55938 443 6 65 104370 1776430931 1776431082 REJECT OK - S3
5 123456789010 eni-abc123def0770 10.0.1.46 52.152.51.202 48749 8080 6 110 554934 1776440257 1776440318 REJECT OK - COMPREHEND
5 123456789010 eni-abc123def0208 10.0.1.57 52.109.38.242 43284 443 6 154 229532 1776460820 1776461061 ACCEPT OK - -
5 123456789010 eni-abc123def0280 10.0.1.57 52.148.28.196 44379 8080 6 104 745079 1776481575 1776481708 ACCEPT OK - -
5 123456789010 eni-abc123def0640 10.0.1.43 52.180.122.127 55289 443 6 132 1339155 1776505645 1776505806 ACCEPT OK - SAGEMAKER
5 123456789010 eni-abc123def0369 10.0.1.57 52.173.60.198 31923 443 6 114 571384 1776507023 1776507097 ACCEPT OK - -
5 123456789010 eni-abc123def0444 10.0.2.22 52.164.191.144 48525 443 6 32 1011278 1776508626 1776508639 ACCEPT OK - S3
5 123456789010 eni-abc123def0885 10.0.2.10 52.156.112.8 48411 443 6 125 1111299 1776514631 1776514654 ACCEPT OK - -
5 123456789010 eni-abc123def0821 10.0.1.51 52.104.102.215 33776 443 6 121 107030 1776524196 1776524220 ACCEPT OK - BEDROCK
5 123456789010 eni-abc123def0191 10.0.2.11 52.184.61.253 57676 443 6 23 481136 1776529680 1776529694 REJECT OK - -
